ID,input,output,subset
ID_TR_Eng_Eth_F96671A5,How is syphilis diagnosed?,Blood tests like VDRL and RPR confirm syphilis infection.,Eng_Eth
ID_TR_Eng_Eth_BE64AC2A,"Is it true that prayer can heal HIV, and what does medical science say about its cure?","While prayer and faith provide spiritual and emotional strength, medical science states that HIV currently has no permanent cure. Antiretroviral are essential as they suppress the virus, allowing people to live long and healthy lives.",Eng_Eth
ID_TR_Eng_Eth_716FB276,"If I have the painful blisters of Herpes, can I use a wash of saltwater or ocean water to dry them out and help them heal faster?","A gentle, clean saline (saltwater) solution can help keep the blisters clean and slightly dry, which aids healing. Use a small amount of clean salt in boiled water. Do not rub, only pat gently.",Eng_Eth
ID_TR_Eng_Eth_C626E38F,Can men and women prevent does vaccination help hpv?,"This is a question about, HPV. HPV has no cure but vaccines prevent dangerous types. Some strains cause cancer, so screening and vaccination are key.",Eng_Eth
ID_TR_Eng_Eth_D3692867,Can I get herpes by sharing food?,"This is a question about, Herpes. Herpes is a virus that causes painful blisters around the mouth or private parts. It can come back many times.",Eng_Eth
ID_TR_Eng_Eth_52246D05,We only have enough money for one full meal a day. Will being hungry make me more likely to catch an infection?,"A weak body struggles to fight any illness. Focus on eating the most nutritious, affordable local foods you can, and seek help if you have an infection.",Eng_Eth
ID_TR_Eng_Eth_44F8B53C,Can prayer cure hpv?,"This is a question about, HPV. Condoms lower the risk but do not fully protect, because HPV can affect areas not covered by condoms.",Eng_Eth
ID_TR_Eng_Eth_BA92992E,What is syphilis?,"This is a question about, Syphilis. A bacterial STI caused by Treponema pallidum.",Eng_Eth
ID_TR_Eng_Eth_6AB19E15,Can girls be blamed for having stis?,No. Anyone can get an STI. Blaming only girls increases stigma and harm.,Eng_Eth
ID_TR_Eng_Eth_9ADFE981,"If I am already in love, but my family wants me to stay in school, how can I convince them to let me marry?",Your family wants you to be safe and secure. Frame the discussion around delaying marriage for a short time to complete a certificate or skill that will make you a better wife and your marriage more stable.,Eng_Eth
ID_TR_Eng_Eth_A543148E,Is does using a condom protect against hpv? dangerous?,"This is a question about, HPV. Condoms reduce the risk but do not give full protection, because HPV can affect areas not covered by condoms.",Eng_Eth
ID_TR_Eng_Eth_16DB80DB,Define HIV in simple terms.,"This is a question about, HIV/AIDS. HIV (Human Immunodeficiency Virus) is a virus that attacks the immune system. If untreated, it can progress to AIDS.",Eng_Eth
ID_TR_Eng_Eth_301C8DB3,Can I get can gonorrhea go away with prayer or fasting??,"This is a question about, Gonorrhea. No. Prayer and fasting are good for faith, but gonorrhea needs proper medicine from health workers.",Eng_Eth
ID_TR_Eng_Eth_711456DE,How can I help a girl cope with the grief of a stillbirth or early child loss?,"This is a question about, Mental Health/Grief. Acknowledge the baby was real. Encourage her to talk about her feelings, offer spiritual comfort, and provide a referral for specialized grief counseling.",Eng_Eth
ID_TR_Eng_Eth_361DB014,How do doctors explain can prayer cure syphilis?,"This is a question about, Syphilis. Syphilis is cured with penicillin. If untreated, it damages the brain, heart, and body. Early testing and treatment prevent complications.",Eng_Eth
ID_TR_Eng_Eth_E9D6BB7E,Does applying oil or cream after sex prevent infection?,"This is a question about, General. No. Oils and creams cannot stop infections. Prevention requires condoms and safe practices.",Eng_Eth
